userId,document_id,operation,timestamp,createdAt,Pak_time,date,description,detail,expenseModel_createdAt,expenseModel_image,expenseModel_selectionType,expenseModel_whoPaid,expenseModel_isAmountPaid,expenseModel_typeOfExpense,expenseModel_founderName,expenseModel_expenseDescription,expenseModel_vendorName,expenseModel_updatedAt,expenseModel_vendorId,nextSchedule,recurringFrequency,recurringTransaction,vatAmount,vatApplied,vatPaymentHistory,id,image,key,revenueModel_createdAt,revenueModel_customerId,revenueModel_customerName,revenueModel_description,revenueModel_directExpense_commissionCharges,revenueModel_directExpense_deliveryCharges,revenueModel_directExpense_materialCharges,revenueModel_directExpense_otherCharges,revenueModel_directExpense_discountValue,revenueModel_directExpense_discounts,revenueModel_founderName,revenueModel_hasInvoice,revenueModel_image,revenueModel_invoiceNum,revenueModel_isAmountPaid,revenueModel_orderReceived,revenueModel_productName,revenueModel_quantity,revenueModel_revenueRepeatCustomers,revenueModel_selectionType,revenueModel_updatedAt,revenueModel_whoPaid,savedTransaction,selectionType,type,updatedAt,value,document_id2,deletedPartialPayments_accountId,deletedPartialPayments_amount,deletedPartialPayments_date,deletedPartialPayments_whoPaid,deletedPartialPayments_updatesLogs_accountId,deletedPartialPayments_updatesLogs_amount,deletedPartialPayments_updatesLogs_date,deletedPartialPayments_updatesLogs_userId,deletedPartialPayments_updatesLogs_whoPaid,document_id3,paymentHistory_accountId,paymentHistory_amount,paymentHistory_date,paymentHistory_whoPaid,paymentHistory_updatesLogs_accountId,paymentHistory_updatesLogs_amount,paymentHistory_updatesLogs_date,paymentHistory_updatesLogs_userId,paymentHistory_updatesLogs_whoPaid,document_id4,revenueModel_productsList_active,revenueModel_productsList_directExpense_commissionCharges,revenueModel_productsList_directExpense_deliveryCharges,revenueModel_productsList_directExpense_materialCharges,revenueModel_productsList_directExpense_otherCharges,revenueModel_productsList_id,revenueModel_productsList_multiple,revenueModel_productsList_productName,revenueModel_productsList_quantity,revenueModel_productsList_revenueOrder
rK7M7qPDLpRZnyj396qAeMAZ1nv1,2jCvCjbqSHmxloGCbJiR,IMPORT,2024-04-24 12:36:07.219000 UTC,2024-04-23 10:17:07.016000 UTC,2024-04-23T15:17:07.016000,1687496400000,Sale,,,,,,,,,,,,,,,,0,false,,,,,,H5teYqwHOD07TIy9gpJa,,Sale,3799,1630,36805,1671,0,0,,false,,390,No,121,,,25,Manual,,Company Account,,Manual,REVENUE,1713867427016,149895,2jCvCjbqSHmxloGCbJiR,,,,,,,,,,2jCvCjbqSHmxloGCbJiR,,,,,,,,,,2jCvCjbqSHmxloGCbJiR,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,4r0fLV83DMwCjG6Up6I5,IMPORT,2024-04-24 12:36:07.220000 UTC,2024-04-23 10:31:33.092000 UTC,2024-04-23T15:31:33.092000,1659070800000,Sale,,,,,,,,,,,,,,,,0,false,,,,,,H5teYqwHOD07TIy9gpJa,,Sale,1954,2079,24196,1260,0,0,,false,,580,Yes,137,,,29,Manual,,Company Account,,Manual,REVENUE,1713868293092,119718,4r0fLV83DMwCjG6Up6I5,,,,,,,,,,4r0fLV83DMwCjG6Up6I5,,111337.74,1659070800000,Company Account,,,,,,4r0fLV83DMwCjG6Up6I5,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,KecneyosFJc6WRwSZK0A,IMPORT,2024-04-24 12:36:13.434000 UTC,2024-04-23 09:47:07.265000 UTC,2024-04-23T14:47:07.265000,1598936400000,Income,,,,,,,,,,,,,,,,0,false,,,,,,H9qXQrfTymzO8JY3xth1,Aisha,Income,2983,2127,36254,3803,0,0,,false,,61,No,1,,,0,Manual,,Company Account,,Manual,REVENUE,1713865627265,138927,KecneyosFJc6WRwSZK0A,,,,,,,,,,KecneyosFJc6WRwSZK0A,,,,,,,,,,KecneyosFJc6WRwSZK0A,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,U6qZdB3CpICKmx5gXoBG,IMPORT,2024-04-24 12:36:17.312000 UTC,2024-04-23 09:53:01.774000 UTC,2024-04-23T14:53:01.774000,1653454800000,Income,,,,,,,,,,,,,,,,0,false,,,,,,VKHd83ACDKohAexvr8pE,Hassan,Income,7213,1800,29420,3539,0,0,,false,,123,No,1,,,0,Manual,,Company Account,,Manual,REVENUE,1713865981774,146644,U6qZdB3CpICKmx5gXoBG,,,,,,,,,,U6qZdB3CpICKmx5gXoBG,,,,,,,,,,U6qZdB3CpICKmx5gXoBG,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,ae6SWyAqagV0Hp1pXgdB,IMPORT,2024-04-24 12:36:19.729000 UTC,2024-04-23 10:33:15.892000 UTC,2024-04-23T15:33:15.892000,1631768400000,Income,,,,,,,,,,,,,,,,0,false,,,,,,H5teYqwHOD07TIy9gpJa,,Income,1688,1615,18719,1476,0,0,,false,,601,Yes,13,,,3,Manual,,Company Account,,Manual,REVENUE,1713868395892,88916,ae6SWyAqagV0Hp1pXgdB,,,,,,,,,,ae6SWyAqagV0Hp1pXgdB,,88026.84,1631768400000,Company Account,,,,,,ae6SWyAqagV0Hp1pXgdB,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,rj4w9qJIf9b7F3qBHCmY,IMPORT,2024-04-24 12:36:19.734000 UTC,2024-04-23 10:17:54.602000 UTC,2024-04-23T15:17:54.602000,1660712400000,373,,,,Manual,Company Account,No,Rent,,373,Infinite Imports,,53nbGTcnsdc8LDiDWTI7,,,,1913.1000000000001,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,EXPENSE,1713867474602,36348.9,rj4w9qJIf9b7F3qBHCmY,,,,,,,,,,rj4w9qJIf9b7F3qBHCmY,,,,,,,,,,rj4w9qJIf9b7F3qBHCmY,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,sfsxKJ509ehTqiu5ua1p,IMPORT,2024-04-24 12:36:19.734000 UTC,2024-04-23 10:22:10.657000 UTC,2024-04-23T15:22:10.657000,1648530000000,McDonalds,,,,Manual,Company Account,No,Meals & Entertainment,,McDonalds,Infinite Imports,,53nbGTcnsdc8LDiDWTI7,,,,1025.7,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,EXPENSE,1713867730657,19488.3,sfsxKJ509ehTqiu5ua1p,,,,,,,,,,sfsxKJ509ehTqiu5ua1p,,,,,,,,,,sfsxKJ509ehTqiu5ua1p,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,FAK61Mrp7D31sLqpfbSF,IMPORT,2024-04-24 12:36:11.418000 UTC,2024-04-23 10:02:34.853000 UTC,2024-04-23T15:02:34.853000,1674190800000,219,,,,Manual,Company Account,No,Inventory,,219,Superior Supplies LLC,,k3MbUbs0kK3dgoxCWvDS,,,,4548.400000000001,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,EXPENSE,1713866554853,86419.6,FAK61Mrp7D31sLqpfbSF,,,,,,,,,,FAK61Mrp7D31sLqpfbSF,,,,,,,,,,FAK61Mrp7D31sLqpfbSF,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,IBF9AnoNbL5i6VD21VrQ,IMPORT,2024-04-24 12:36:11.419000 UTC,2024-04-23 09:59:37.275000 UTC,2024-04-23T14:59:37.275000,1598850000000,Income,,,,,,,,,,,,,,,,0,false,,,,,,jYqlxyye1K6FK7PCU4PE,Muhammad,Income,5280,1500,26245,1671,0,0,,false,,191,No,1,,,0,Manual,,Company Account,,Manual,REVENUE,1713866377275,125731,IBF9AnoNbL5i6VD21VrQ,,,,,,,,,,IBF9AnoNbL5i6VD21VrQ,,,,,,,,,,IBF9AnoNbL5i6VD21VrQ,,,,,,,,,,
rK7M7qPDLpRZnyj396qAeMAZ1nv1,JbGWgJplXM9QQAFpUtzr,IMPORT,2024-04-24 12:36:13.433000 UTC,2024-04-23 09:57:27.004000 UTC,2024-04-23T14:57:27.004000,1615611600000,Income,,,,,,,,,,,,,,,,0,false,,,,,,cFilN7y04A32AnMF1Jp7,Khalid,Income,3753,2249,24787,1944,0,0,,false,,169,No,1,,,0,Manual,,Company Account,,Manual,REVENUE,1713866247004,119363,JbGWgJplXM9QQAFpUtzr,,,,,,,,,,JbGWgJplXM9QQAFpUtzr,,,,,,,,,,JbGWgJplXM9QQAFpUtzr,,,,,,,,,,
